-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 02/10/2019 through 08/03/2019 in UTC
Location: Latitude  8.8613   Longitude -83.4743 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 325.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR
2019,2,10,0,27.34,0.0
2019,2,10,1,26.51,0.0
2019,2,10,2,25.89,0.0
2019,2,10,3,25.47,0.0
2019,2,10,4,25.16,0.0
2019,2,10,5,24.92,0.0
2019,2,10,6,24.72,0.0
2019,2,10,7,24.51,0.0
2019,2,10,8,24.36,0.0
2019,2,10,9,24.27,0.0
2019,2,10,10,24.24,0.0
2019,2,10,11,24.21,0.0
2019,2,10,12,24.62,0.0
2019,2,10,13,25.98,0.0
2019,2,10,14,27.68,0.0
2019,2,10,15,29.31,0.0
2019,2,10,16,30.52,0.0
2019,2,10,17,31.24,0.0
2019,2,10,18,31.45,0.0
2019,2,10,19,31.36,0.0
2019,2,10,20,30.96,0.0
2019,2,10,21,30.44,0.0
2019,2,10,22,29.6,0.0
2019,2,10,23,28.42,0.0
2019,2,11,0,27.4,0.01
2019,2,11,1,26.63,0.01
2019,2,11,2,26.18,0.01
2019,2,11,3,25.89,0.01
2019,2,11,4,25.63,0.01
2019,2,11,5,25.44,0.01
2019,2,11,6,25.26,0.01
2019,2,11,7,25.12,0.01
2019,2,11,8,25.01,0.01
2019,2,11,9,24.96,0.01
2019,2,11,10,24.92,0.0
2019,2,11,11,24.92,0.0
2019,2,11,12,25.3,0.0
2019,2,11,13,26.53,0.0
2019,2,11,14,28.04,0.0
2019,2,11,15,29.6,0.0
2019,2,11,16,30.75,0.0
2019,2,11,17,31.25,0.0
2019,2,11,18,31.38,0.0
2019,2,11,19,31.19,0.0
2019,2,11,20,30.77,0.0
2019,2,11,21,30.05,0.0
2019,2,11,22,29.14,0.05
2019,2,11,23,28.05,0.11
2019,2,12,0,27.09,0.13
2019,2,12,1,26.57,0.17
2019,2,12,2,26.29,0.12
2019,2,12,3,26.06,0.09
2019,2,12,4,25.9,0.03
2019,2,12,5,25.66,0.03
2019,2,12,6,25.43,0.08
2019,2,12,7,25.2,0.07
2019,2,12,8,25.0,0.06
2019,2,12,9,24.78,0.02
2019,2,12,10,24.55,0.02
2019,2,12,11,24.38,0.01
2019,2,12,12,24.68,0.01
2019,2,12,13,25.99,0.0
2019,2,12,14,27.46,0.0
2019,2,12,15,28.95,0.01
2019,2,12,16,29.9,0.0
2019,2,12,17,30.45,0.01
2019,2,12,18,30.68,0.01
2019,2,12,19,30.72,0.01
2019,2,12,20,30.45,0.01
2019,2,12,21,29.71,0.0
2019,2,12,22,28.6,0.05
2019,2,12,23,27.36,0.03
2019,2,13,0,26.44,0.26
2019,2,13,1,25.85,0.41
2019,2,13,2,25.43,0.55
2019,2,13,3,25.1,0.49
2019,2,13,4,24.93,0.42
2019,2,13,5,24.86,0.39
2019,2,13,6,24.9,0.35
2019,2,13,7,24.96,0.29
2019,2,13,8,24.98,0.24
2019,2,13,9,24.91,0.24
2019,2,13,10,24.85,0.23
2019,2,13,11,24.89,0.22
2019,2,13,12,25.21,0.17
2019,2,13,13,26.1,0.12
2019,2,13,14,27.47,0.07
2019,2,13,15,28.71,0.05
2019,2,13,16,29.91,0.04
2019,2,13,17,30.81,0.05
2019,2,13,18,31.1,0.04
2019,2,13,19,30.94,0.05
2019,2,13,20,30.36,0.06
2019,2,13,21,29.67,0.05
2019,2,13,22,28.87,0.07
2019,2,13,23,27.89,0.09
2019,2,14,0,26.96,0.05
2019,2,14,1,26.64,0.04
2019,2,14,2,26.66,0.02
2019,2,14,3,26.67,0.03
2019,2,14,4,26.55,0.05
2019,2,14,5,26.3,0.15
2019,2,14,6,25.97,0.22
2019,2,14,7,25.58,0.24
2019,2,14,8,25.19,0.17
2019,2,14,9,24.9,0.12
2019,2,14,10,24.71,0.09
2019,2,14,11,24.66,0.06
2019,2,14,12,25.12,0.01
2019,2,14,13,26.71,0.0
2019,2,14,14,28.55,0.0
2019,2,14,15,30.29,0.0
2019,2,14,16,31.42,0.0
2019,2,14,17,32.0,0.0
2019,2,14,18,32.18,0.0
2019,2,14,19,31.92,0.0
2019,2,14,20,31.42,0.0
2019,2,14,21,30.61,0.0
2019,2,14,22,29.58,0.0
2019,2,14,23,28.36,0.0
2019,2,15,0,27.34,0.0
2019,2,15,1,26.74,0.0
2019,2,15,2,26.49,0.0
2019,2,15,3,26.42,0.0
2019,2,15,4,26.29,0.0
2019,2,15,5,26.08,0.0
2019,2,15,6,25.73,0.0
2019,2,15,7,25.36,0.0
2019,2,15,8,25.02,0.0
2019,2,15,9,24.78,0.0
2019,2,15,10,24.64,0.0
2019,2,15,11,24.6,0.0
2019,2,15,12,24.86,0.0
2019,2,15,13,25.95,0.0
2019,2,15,14,27.64,0.0
2019,2,15,15,28.91,0.0
2019,2,15,16,29.75,0.0
2019,2,15,17,30.3,0.0
2019,2,15,18,30.48,0.0
2019,2,15,19,30.26,0.0
2019,2,15,20,29.71,0.0
2019,2,15,21,28.97,0.0
2019,2,15,22,28.11,0.0
2019,2,15,23,27.14,0.0
2019,2,16,0,26.38,0.0
2019,2,16,1,26.0,0.0
2019,2,16,2,25.7,0.0
2019,2,16,3,25.43,0.0
2019,2,16,4,25.32,0.0
2019,2,16,5,25.24,0.0
2019,2,16,6,25.08,0.0
2019,2,16,7,24.96,0.0
2019,2,16,8,24.97,0.0
2019,2,16,9,25.03,0.0
2019,2,16,10,25.02,0.0
2019,2,16,11,24.9,0.0
2019,2,16,12,24.97,0.0
2019,2,16,13,25.72,0.0
2019,2,16,14,26.85,0.0
2019,2,16,15,27.92,0.0
2019,2,16,16,28.9,0.0
2019,2,16,17,29.67,0.0
2019,2,16,18,30.12,0.0
2019,2,16,19,30.16,0.0
2019,2,16,20,29.83,0.0
2019,2,16,21,29.19,0.0
2019,2,16,22,28.25,0.0
2019,2,16,23,27.17,0.0
2019,2,17,0,26.39,0.0
2019,2,17,1,25.95,0.0
2019,2,17,2,25.62,0.0
2019,2,17,3,25.32,0.0
2019,2,17,4,25.07,0.0
2019,2,17,5,24.89,0.0
2019,2,17,6,24.79,0.0
2019,2,17,7,24.77,0.0
2019,2,17,8,24.81,0.0
2019,2,17,9,24.84,0.0
2019,2,17,10,24.81,0.0
2019,2,17,11,24.79,0.0
2019,2,17,12,25.02,0.0
2019,2,17,13,26.18,0.0
2019,2,17,14,27.57,0.0
2019,2,17,15,28.86,0.0
2019,2,17,16,29.88,0.0
2019,2,17,17,30.46,0.0
2019,2,17,18,30.59,0.0
2019,2,17,19,30.17,0.0
2019,2,17,20,29.53,0.0
2019,2,17,21,28.73,0.0
2019,2,17,22,27.84,0.0
2019,2,17,23,27.04,0.0
2019,2,18,0,26.5,0.0
2019,2,18,1,26.15,0.0
2019,2,18,2,25.9,0.0
2019,2,18,3,25.85,0.0
2019,2,18,4,25.93,0.0
2019,2,18,5,25.96,0.0
2019,2,18,6,25.96,0.0
2019,2,18,7,25.89,0.0
2019,2,18,8,25.82,0.0
2019,2,18,9,25.73,0.0
2019,2,18,10,25.61,0.0
2019,2,18,11,25.46,0.0
2019,2,18,12,25.51,0.0
2019,2,18,13,26.64,0.0
2019,2,18,14,28.24,0.0
2019,2,18,15,29.81,0.0
2019,2,18,16,30.89,0.0
2019,2,18,17,31.46,0.0
2019,2,18,18,31.67,0.0
2019,2,18,19,31.53,0.0
2019,2,18,20,31.05,0.0
2019,2,18,21,30.32,0.0
2019,2,18,22,29.55,0.0
2019,2,18,23,28.54,0.0
2019,2,19,0,27.64,0.0
2019,2,19,1,27.49,0.0
2019,2,19,2,27.35,0.0
2019,2,19,3,27.03,0.0
2019,2,19,4,26.57,0.0
2019,2,19,5,26.18,0.0
2019,2,19,6,25.81,0.0
2019,2,19,7,25.47,0.0
2019,2,19,8,25.15,0.0
2019,2,19,9,24.82,0.0
2019,2,19,10,24.44,0.0
2019,2,19,11,24.04,0.0
2019,2,19,12,24.25,0.0
2019,2,19,13,25.87,0.0
2019,2,19,14,27.73,0.0
2019,2,19,15,29.34,0.0
2019,2,19,16,30.44,0.0
2019,2,19,17,31.05,0.0
2019,2,19,18,31.21,0.0
2019,2,19,19,30.96,0.0
2019,2,19,20,30.37,0.0
2019,2,19,21,29.47,0.0
2019,2,19,22,28.42,0.0
2019,2,19,23,27.33,0.0
2019,2,20,0,26.46,2.88
2019,2,20,1,26.05,5.37
2019,2,20,2,25.97,7.19
2019,2,20,3,25.91,8.85
2019,2,20,4,25.81,11.25
2019,2,20,5,25.58,13.73
2019,2,20,6,25.3,17.58
2019,2,20,7,25.02,19.13
2019,2,20,8,24.78,19.58
2019,2,20,9,24.64,16.94
2019,2,20,10,24.59,14.81
2019,2,20,11,24.59,10.84
2019,2,20,12,24.97,7.67
2019,2,20,13,25.93,5.28
2019,2,20,14,27.44,3.25
2019,2,20,15,29.27,1.02
2019,2,20,16,30.21,0.32
2019,2,20,17,30.61,0.21
2019,2,20,18,30.55,0.15
2019,2,20,19,30.18,0.09
2019,2,20,20,29.64,0.11
2019,2,20,21,28.93,0.08
2019,2,20,22,28.11,0.1
2019,2,20,23,27.19,0.23
2019,2,21,0,26.45,0.23
2019,2,21,1,25.99,0.52
2019,2,21,2,25.74,0.65
2019,2,21,3,25.49,1.15
2019,2,21,4,25.31,1.43
2019,2,21,5,25.21,1.38
2019,2,21,6,25.16,1.88
2019,2,21,7,25.17,1.58
2019,2,21,8,25.24,1.01
2019,2,21,9,25.39,0.65
2019,2,21,10,25.44,0.28
2019,2,21,11,25.44,0.15
2019,2,21,12,25.74,0.11
2019,2,21,13,26.37,0.06
2019,2,21,14,27.84,0.05
2019,2,21,15,29.16,0.02
